ReviewStar,Price,Product_enc,Total_Score,Overall_Result_enc
3.0,1399.0,9,-0.958,0
1.0,1399.0,9,-0.2528,0
4.0,1399.0,9,0.5569,1
1.0,1399.0,9,0.1779,1
5.0,1399.0,9,0.2831,1
1.0,1399.0,9,0.5122,1
4.0,1399.0,9,0.9607,1
3.0,1399.0,9,-0.5849,0
5.0,1399.0,9,0.9685,1
1.0,1399.0,9,-0.5916,0
3.65661715805808,1399.0,9,0.8796,1
1.0,1399.0,9,0.5994,1
5.0,1399.0,9,0.73,1
1.0,1399.0,9,-0.2263,0
1.0,1399.0,9,-0.7269,0
3.0,1399.0,9,0.9641,1
4.0,1399.0,9,0.4854,1
3.0,1399.0,9,0.714,1
1.0,1399.0,9,-0.6475,0
3.0,1399.0,9,0.7659,1
4.0,1399.0,9,0.9619,1
5.0,1399.0,9,0.0,1
5.0,1399.0,9,0.9778,1
3.65661715805808,1399.0,9,-0.296,0
5.0,1399.0,9,0.6573,1
1.0,1399.0,9,-0.7003,0
1.0,1399.0,9,0.1681,1
5.0,1399.0,9,0.9731,1
1.0,1399.0,9,-0.3182,0
2.0,1399.0,9,-0.8717,0
5.0,1399.0,9,0.863,1
1.0,1399.0,9,0.6939,1
1.0,1399.0,9,-0.3506,0
4.0,1399.0,9,0.9477,1
5.0,1399.0,9,0.9885,1
1.0,1399.0,9,-0.8439,0
2.0,1399.0,9,-0.8674,0
3.0,1399.0,9,-0.7772,0
5.0,1399.0,9,-0.1531,0
4.0,1399.0,9,0.9768,1
4.0,1399.0,9,0.7269,1
5.0,1399.0,9,0.8519,1
5.0,1399.0,9,0.7203,1
3.0,1399.0,9,0.9098,1
5.0,1399.0,9,0.9439,1
4.0,1399.0,9,0.7418,1
4.0,1399.0,9,0.9761,1
1.0,1399.0,9,-0.6249,0
4.0,1399.0,9,0.9042,1
4.0,1399.0,9,0.9684,1
1.0,1399.0,9,-0.1263,0
1.0,1399.0,9,0.0772,1
5.0,1399.0,9,-0.5193,0
1.0,1399.0,9,0.228,1
1.0,1399.0,9,-0.8357,0
5.0,1399.0,9,0.9367,1
1.0,1399.0,9,-0.6249,0
1.0,1399.0,9,-0.2263,0
3.0,1399.0,9,-0.8585,0
4.0,1399.0,9,0.9875,1
1.0,1399.0,9,0.9071,1
1.0,1399.0,9,0.0,1
3.0,1399.0,9,0.6769,1
5.0,1399.0,9,0.8655,1
